PolicyID,Line,Construction,County,Latitude,Longitude,TIV-2020,TIV-2021,Growth Rate
119736,Residential,Masonry,Clay,30.102261,-81.711777,498960,792148.9,58.76%
448094,Residential,Masonry,Clay,30.063936,-81.707664,1322376.3,1438163.57,8.76%
206893,Residential,Wood,Clay,30.089579,-81.700455,190724.4,192476.78,0.92%
333743,Residential,Wood,Clay,30.063236,-81.707703,79520.76,86854.48,9.22%
172534,Residential,Wood,Clay,30.060614,-81.702675,254281.5,246144.49,-3.20%
785275,Residential,Masonry,Clay,30.063236,-81.707703,515035.62,884419.17,71.72%
995932,Commercial,Reinforced Concrete,Clay,30.102226,-81.713882,19260000,20610000,7.01%
223488,Residential,Wood,Clay,30.102217,-81.707146,328500,348374.25,6.05%
433512,Residential,Wood,Clay,30.118774,-81.704613,315000,265821.57,-15.61%
142071,Residential,Masonry,Clay,30.100628,-81.703751,705600,1010842.56,43.26%
253816,Residential,Masonry,Clay,30.10216,-81.719444,831498.3,1117791.48,34.43%
894922,Residential,Wood,Clay,30.095957,-81.695099,24059.09,33952.19,41.12%
422834,Residential,Wood,Clay,30.100073,-81.739822,48115.94,66755.39,38.74%
582721,Residential,Wood,Clay,30.09248,-81.725167,28869.12,42826.99,48.35%
842700,Residential,Wood,Clay,30.101356,-81.726248,56135.64,50656.8,-9.76%
874333,Residential,Wood,Clay,30.113743,-81.727463,48115.94,67905.07,41.13%
580146,Residential,Wood,Clay,30.121655,-81.732391,48115.94,66938.9,39.12%
456149,Residential,Wood,Clay,30.109537,-81.741661,80192.49,86421.04,7.77%
767862,Residential,Wood,Clay,30.11824,-81.745335,48115.94,73798.5,53.38%
353022,Residential,Wood,Clay,30.065799,-81.717416,60946.79,62467.29,2.49%
367814,Residential,Wood,Clay,30.082993,-81.710581,28869.12,42727.74,48.00%
671392,Commercial,Reinforced Concrete,Clay,30.091921,-81.711929,13410000,11700000,-12.75%
772887,Residential,Masonry,Clay,30.117352,-81.711884,1669113.93,2099127.76,25.76%
983122,Residential,Wood,Clay,30.095783,-81.713181,179562.23,211372.57,17.72%
934215,Residential,Wood,Clay,30.110518,-81.727478,177744.16,157171.16,-11.57%
385951,Residential,Wood,Clay,30.10288,-81.705719,17757.58,16948.72,-4.56%
716332,Residential,Wood,Clay,30.068468,-81.71624,130129.87,101758.43,-21.80%
751262,Residential,Wood,Clay,30.068468,-81.71624,42854.77,63592.88,48.39%
633663,Residential,Wood,Clay,30.068468,-81.71624,785.58,662.18,-15.71%
105851,Residential,Wood,Clay,30.068468,-81.71624,170361.91,177176.38,4.00%
710400,Residential,Wood,Clay,30.068468,-81.71624,1430.89,1861.41,30.09%
703001,Residential,Wood,Clay,30.079785,-81.706865,129913.27,101692.86,-21.72%
352792,Residential,Masonry,Clay,30.08012,-81.718452,366285.62,507164.19,38.46%
717603,Residential,Wood,Clay,30.08012,-81.718452,22512.61,28637.17,27.21%
937659,Residential,Wood,Suwannee,29.959805,-82.926659,9246.6,10880.22,17.67%
294022,Residential,Wood,Suwannee,29.959805,-82.926659,96164.64,69357.78,-27.88%
410500,Residential,Wood,Suwannee,29.959805,-82.926659,11095.92,12737.89,14.80%
524433,Residential,Wood,Suwannee,29.962601,-82.926155,218475,199030.29,-8.90%
779298,Residential,Masonry,Suwannee,29.962601,-82.926155,1400904,1772984.1,26.56%
491831,Residential,Wood,Suwannee,29.962601,-82.926155,4365,4438.05,1.67%
814637,Residential,Wood,Suwannee,29.962601,-82.926155,4365,6095.72,39.65%
737515,Residential,Wood,Suwannee,29.962601,-82.926155,39789,58106.58,46.04%
222653,Residential,Wood,Suwannee,29.962601,-82.926155,24867,18969.79,-23.72%
788543,Residential,Wood,Suwannee,29.962601,-82.926155,213876,261435.18,22.24%
691681,Residential,Wood,Suwannee,29.960735,-82.92542,69435,93674.34,34.91%
368807,Residential,Wood,Suwannee,29.960735,-82.92542,14922,12333.03,-17.35%
174002,Residential,Wood,Suwannee,29.963396,-82.916763,165546,239134.51,44.45%
198760,Residential,Wood,Suwannee,29.963396,-82.916763,72837,86637.86,18.95%
831395,Residential,Wood,Suwannee,29.963396,-82.916763,72837,98147.86,34.75%
305698,Residential,Wood,Suwannee,29.963396,-82.916763,19440,30658.59,57.71%
515722,Residential,Wood,Suwannee,29.963396,-82.916763,9945,11551.12,16.15%
415582,Residential,Wood,Suwannee,29.958415,-82.92394,255878.61,345894.66,35.18%
783533,Residential,Wood,Suwannee,29.9696,-82.92767,153527.17,138228.8,-9.96%
640802,Residential,Wood,Suwannee,29.959404,-82.927582,255878.61,177339.74,-30.69%
403866,Residential,Wood,Suwannee,29.958904,-82.922729,102351.45,95132.8,-7.05%
828788,Residential,Wood,Suwannee,29.95822,-82.922424,155489.66,145139.65,-6.66%
751490,Residential,Wood,Suwannee,29.965832,-82.933777,137233.8,114919.58,-16.26%
972562,Residential,Wood,Suwannee,29.965721,-82.933777,123596.05,183015.09,48.08%
367541,Residential,Wood,Suwannee,29.965717,-82.933777,107111.11,88218.85,-17.64%
481360,Residential,Wood,Suwannee,29.95775,-82.923635,96309.32,85911,-10.80%
920232,Residential,Wood,Nassau,30.39431,-81.93397,104031.7,168443.97,61.92%
727659,Residential,Wood,Nassau,30.56267,-81.830429,338944.5,485816.61,43.33%
471817,Residential,Wood,Nassau,30.56267,-81.830429,272349,414565.56,52.22%
983043,Residential,Wood,Nassau,30.561651,-81.830193,129690,129635.53,-0.04%
578286,Residential,Wood,Nassau,30.56267,-81.830429,123210,120345.61,-2.32%
347276,Residential,Wood,Nassau,30.56106,-81.82632,3698.64,3939.13,6.50%
477786,Commercial,Reinforced Masonry,Nassau,30.5579,-81.8249,2115760.5,3057739.39,44.52%
265907,Residential,Wood,Nassau,30.56106,-81.82632,93548.58,118401.07,26.57%
107560,Residential,Masonry,Nassau,30.56106,-81.82632,1037311.14,1487255.23,43.38%
908183,Residential,Wood,Nassau,30.57185,-81.82383,15463.3,11825.56,-23.52%
356024,Residential,Wood,Nassau,30.562835,-81.826525,13893.35,13988.5,0.68%
575299,Residential,Wood,Nassau,30.567566,-81.826584,316618.23,230328.99,-27.25%
790478,Residential,Wood,Nassau,30.60895,-81.83645,54834.66,63053.72,14.99%
801776,Residential,Wood,Nassau,30.59925,-81.81973,295269.11,488965.65,65.60%
291781,Residential,Masonry,Nassau,30.53674,-81.77496,723734.17,955908.09,32.08%
537286,Residential,Masonry,Nassau,30.555161,-81.825684,1741572,1455184.42,-16.44%
289305,Residential,Wood,Columbia,30.105968,-82.66227,135450,164978.1,21.80%
697409,Residential,Wood,Columbia,30.1018,-82.7094,60300,77678.46,28.82%
633944,Residential,Wood,Columbia,30.1018,-82.7094,22500,19501.76,-13.33%
963511,Residential,Wood,Columbia,30.1018,-82.7094,34212.42,33250.37,-2.81%
729649,Residential,Masonry,Columbia,30.1653,-82.73404,460128.2,626142.46,36.08%
862584,Residential,Wood,Columbia,30.1018,-82.7094,32169.69,37291.11,15.92%
371891,Residential,Wood,Columbia,30.17399,-82.57017,50550.75,49526.38,-2.03%
785595,Residential,Wood,Columbia,30.1515,-82.6126,42300,53762.62,27.10%
567696,Residential,Wood,Columbia,30.16269,-82.64,10171.26,16798.29,65.15%
219025,Residential,Wood,Columbia,30.16269,-82.64,155342.88,176189.89,13.42%
447216,Residential,Wood,Columbia,30.16269,-82.64,3698.64,4424.48,19.62%
305141,Residential,Wood,Columbia,30.16269,-82.64,4623.3,4525.86,-2.11%
625575,Residential,Wood,Columbia,30.16269,-82.64,33287.76,27375.62,-17.76%
262109,Residential,Wood,Columbia,30.163641,-82.640976,21267.18,24840.49,16.80%
228457,Residential,Masonry,Columbia,30.163641,-82.640976,729556.74,889825.76,21.97%
622799,Residential,Wood,Columbia,30.163641,-82.640976,350446.14,438049.26,25.00%
233271,Commercial,Reinforced Masonry,Columbia,30.163641,-82.640976,2135964.6,1728721.59,-19.07%
932950,Residential,Wood,Columbia,30.163641,-82.640976,4623.3,4782.1,3.43%
641952,Commercial,Reinforced Masonry,Columbia,30.1515,-82.6126,2469639.6,2708463.63,9.67%
796260,Residential,Masonry,Columbia,30.1515,-82.6126,914073.3,1296439.3,41.83%
301822,Commercial,Reinforced Masonry,Columbia,30.1515,-82.6126,3042940.5,3181868.99,4.57%
559927,Residential,Wood,Columbia,30.1515,-82.6126,234997.65,255975.89,8.93%
224400,Residential,Masonry,Columbia,30.1515,-82.6126,912600,1147247.71,25.71%
123936,Commercial,Reinforced Masonry,Columbia,30.1515,-82.6126,1920744.9,2837762.3,47.74%
333818,Residential,Masonry,Columbia,30.1515,-82.6126,455754.6,696809.59,52.89%
254323,Residential,Masonry,Columbia,30.1515,-82.6126,1552693.95,1552594.58,-0.01%
247444,Residential,Wood,Columbia,30.1515,-82.6126,8910,13521.83,51.76%
882598,Residential,Masonry,Columbia,30.1515,-82.6126,398968.2,424087.24,6.30%
386918,Residential,Wood,Columbia,30.1515,-82.6126,4500,4238.41,-5.81%
497337,Residential,Wood,Columbia,30.1515,-82.6126,31071.6,57802.5,86.03%
526844,Commercial,Reinforced Masonry,Columbia,30.1515,-82.6126,4956125.85,7279557.65,46.88%
623400,Residential,Wood,Columbia,30.1515,-82.6126,40500,34160.94,-15.65%
826170,Residential,Wood,Columbia,30.185885,-82.614795,135868.99,234280.26,72.43%
185483,Residential,Wood,Columbia,30.185885,-82.614795,36784.23,58447.64,58.89%
920003,Residential,Masonry,Columbia,30.185885,-82.614795,1086940.9,1770235.43,62.86%
274246,Residential,Wood,Columbia,30.16649,-82.63503,16767.17,17228.6,2.75%
423636,Residential,Masonry,Columbia,30.176,-82.65581,1404900,1840643.78,31.02%
970906,Commercial,Reinforced Masonry,Columbia,30.00777,-82.59694,4696520.5,6342697.9,35.05%
